goal	rule	score
parent(arthur_weasley, fred_weasley)	parent(arthur_weasley, fred_weasley)	1
friend(_EX2, X)	friend(hermione_granger, dumbledore)	1
taught_by(_EX5, _EX3)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
male(_EX6)	male(sirius_black)	1
taught_by(_EX2, X)	taught_by(hermione_granger, flitwick)	1
friend(_EX3, X)	friend(ron_weasley, dumbledore)	1
friend(george_weasley, neville_longbottom)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, dumbledore)	1
male(_EX5)	male(crabbe)	1
male(_EX5)	male(vernon_dursley)	1
enemy(_EX4, draco_malfoy)	enemy(hermione_granger, draco_malfoy)	1
parent(X, _EX1)	parent(molly_weasley, fred_weasley)	1
enemy(_EX1, X)	enemy(neville_longbottom, draco_malfoy)	1
parent(james_potter, _EX5)	parent(james_potter, harry_potter)	1
ally(_EX0, dumbledore)	ally(severus_snape, dumbledore)	1
mutual_friend(george_weasley, _EX3, _EX4)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
taught_by(_EX1, _EX2)	taught_by(hermione_granger, mcgonagall)	1
parent(Y, X)	parent(molly_weasley, ginny_weasley)	1
male(_EX6)	male(neville_longbottom)	1
taught_by(_EX2, X)	taught_by(ginny_weasley, remus_lupin)	1
mutual_friend(luna_lovegood, fred_weasley, Y)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
taught_by(_EX6, _EX0)	taught_by(hermione_granger, dumbledore)	1
house(charlie_weasley, X)	house(charlie_weasley, gryffindor)	1
friend(_EX3, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
taught_by(Z, slughorn)	taught_by(ron_weasley, slughorn)	1
taught_by(_EX2, X)	taught_by(ron_weasley, severus_snape)	1
enemy(Y, X)	enemy(hermione_granger, draco_malfoy)	1
parent(X, _EX1)	parent(xenophilius_lovegood, luna_lovegood)	1
friend(ron_weasley, _EX2)	friend(ron_weasley, dumbledore)	1
male(_EX5)	male(charlie_weasley)	1
friend(X, bill_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, flitwick)	1
friend(X, Y)	friend(luna_lovegood, neville_longbottom)	1
house(_EX6, X)	house(cho_chang, ravenclaw)	1
friend(_EX3, Z)	friend(hermione_granger, neville_longbottom)	1
friend(_EX3, _EX6)	friend(ron_weasley, dumbledore)	1
house(X, Y)	house(draco_malfoy, slytherin)	1
teacher(_EX6, X)	teacher(severus_snape, potions)	1
at(X, _EX6)	at(hogwarts, cho_chang)	1
friend(_EX0, X)	friend(ron_weasley, dumbledore)	1
friend(_EX3, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
taught_by(neville_longbottom, _EX6)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
at(X, _EX6)	at(azkaban, sirius_black)	1
friend(draco_malfoy, crabbe)	friend(draco_malfoy, crabbe)	1
friend(_EX3, Z)	friend(hermione_granger, dumbledore)	1
house(Z, X)	house(lucius_malfoy, slytherin)	1
taught_by(_EX1, remus_lupin)	taught_by(hermione_granger, remus_lupin)	1
friend(X, _EX6)	friend(hermione_granger, fred_weasley)	1
taught_by(X, _EX5)	taught_by(ginny_weasley, dumbledore)	1
parent(Y, X)	parent(xenophilius_lovegood, luna_lovegood)	1
friend(X, Z)	friend(sirius_black, remus_lupin)	1
friend(_EX2, neville_longbottom)	friend(luna_lovegood, neville_longbottom)	1
house(_EX0, X)	house(goyle, slytherin)	1
house(X, Y)	house(arthur_weasley, gryffindor)	1
parent(X, _EX1)	parent(lily_potter, harry_potter)	1
parent(X, _EX5)	parent(draco_malfoy, lucius_malfoy)	1
friend(_EX0, george_weasley)	friend(fred_weasley, george_weasley)	1
taught_by(_EX6, _EX0)	taught_by(harry_potter, dumbledore)	1
friend(X, _EX6)	friend(george_weasley, bill_weasley)	1
friend(X, _EX6)	friend(fred_weasley, george_weasley)	1
parent(X, _EX4)	parent(molly_weasley, george_weasley)	1
male(X)	male(victor_krum)	1
friend(_EX6, bill_weasley)	friend(george_weasley, bill_weasley)	1
teacher(_EX2, X)	teacher(severus_snape, potions)	1
friend(_EX0, remus_lupin)	friend(ron_weasley, remus_lupin)	1
male(_EX3)	male(arthur_weasley)	1
male(_EX0)	male(ron_weasley)	1
male(Y)	male(arthur_weasley)	1
male(_EX0)	male(lucius_malfoy)	1
parent(X, Z)	parent(molly_weasley, george_weasley)	1
at(X, _EX6)	at(ministry_of_magic, umbridge)	1
parent(xenophilius_lovegood, luna_lovegood)	parent(xenophilius_lovegood, luna_lovegood)	1
friend(_EX4, luna_lovegood)	friend(fred_weasley, luna_lovegood)	1
female(_EX3)	female(cho_chang)	1
ally(ron_weasley, _EX6)	ally(X, Y) :- enemy(X, Z), enemy(Y, Z)	1
friend(Z, X)	friend(fred_weasley, george_weasley)	1
at(X, _EX6)	at(hogwarts, remus_lupin)	1
house(_EX1, X)	house(molly_weasley, gryffindor)	1
house(_EX6, X)	house(george_weasley, gryffindor)	1
friend(Y, X)	friend(hermione_granger, george_weasley)	1
wizard(X)	wizard(X) :- house(X, Y), male(X)	1
house(_EX2, X)	house(hermione_granger, gryffindor)	1
female(_EX5)	female(luna_lovegood)	1
house(_EX1, X)	house(hermione_granger, gryffindor)	1
friend(_EX0, X)	friend(sirius_black, remus_lupin)	1
male(_EX3)	male(cedric_diggory)	1
taught_by(_EX0, X)	taught_by(ginny_weasley, slughorn)	1
parent(X, _EX5)	parent(james_potter, harry_potter)	1
parent(molly_weasley, george_weasley)	parent(molly_weasley, george_weasley)	1
mutual_friend(_EX2, _EX2, bill_weasley)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
taught_by(_EX2, _EX0)	taught_by(ginny_weasley, slughorn)	1
parent(_EX4, X)	parent(arthur_weasley, ron_weasley)	1
teacher(_EX5, X)	teacher(severus_snape, potions)	1
taught_by(_EX2, _EX4)	taught_by(hermione_granger, flitwick)	1
friend(X, _EX6)	friend(luna_lovegood, neville_longbottom)	1
friend(_EX4, X)	friend(hermione_granger, neville_longbottom)	1
ally(_EX4, _EX1)	ally(ron_weasley, dumbledore)	1
enemy(Y, X)	enemy(sirius_black, lucius_malfoy)	1
friend(_EX6, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
teacher(_EX1, X)	teacher(dumbledore, headmaster)	1
teacher(Z, X)	teacher(umbridge, defense_dark_arts)	1
teacher(Z, X)	teacher(mcgonagall, transfiguration)	1
male(_EX3)	male(sirius_black)	1
teacher(X, Y)	teacher(severus_snape, potions)	1
male(vernon_dursley)	male(vernon_dursley)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, trelawney)	1
friend(_EX2, remus_lupin)	friend(hermione_granger, remus_lupin)	1
parent(_EX5, X)	parent(vernon_dursley, dudley_dursley)	1
male(X)	male(remus_lupin)	1
house(_EX2, X)	house(draco_malfoy, slytherin)	1
parent(_EX4, X)	parent(arthur_weasley, fred_weasley)	1
friend(Z, X)	friend(hermione_granger, neville_longbottom)	1
house(_EX1, X)	house(draco_malfoy, slytherin)	1
friend(_EX3, X)	friend(ron_weasley, remus_lupin)	1
friend(_EX6, bill_weasley)	friend(fred_weasley, bill_weasley)	1
at(X, neville_longbottom)	at(hogwarts, neville_longbottom)	1
male(_EX0)	male(neville_longbottom)	1
friend(_EX4, remus_lupin)	friend(hermione_granger, remus_lupin)	1
taught_by(ron_weasley, Z)	taught_by(ron_weasley, dumbledore)	1
friend(_EX2, fred_weasley)	friend(hermione_granger, fred_weasley)	1
house(_EX2, X)	house(lucius_malfoy, slytherin)	1
parent(X, _EX4)	parent(molly_weasley, fred_weasley)	1
house(_EX1, X)	house(arthur_weasley, gryffindor)	1
taught_by(_EX2, _EX0)	taught_by(hermione_granger, slughorn)	1
teacher(_EX0, X)	teacher(lockhart, defense_dark_arts)	1
taught_by(_EX2, _EX0)	taught_by(ginny_weasley, dumbledore)	1
taught_by(_EX2, _EX4)	taught_by(hermione_granger, dumbledore)	1
house(_EX0, X)	house(charlie_weasley, gryffindor)	1
teacher(Z, X)	teacher(trelawney, divination)	1
parent(molly_weasley, _EX5)	parent(molly_weasley, ginny_weasley)	1
friend(_EX0, fred_weasley)	friend(hermione_granger, fred_weasley)	1
friend(_EX3, X)	friend(fred_weasley, bill_weasley)	1
friend(X, _EX6)	friend(draco_malfoy, goyle)	1
parent(Y, X)	parent(james_potter, harry_potter)	1
male(Y)	male(dumbledore)	1
male(X)	male(goyle)	1
teacher(severus_snape, X)	teacher(severus_snape, potions)	1
friend(ron_weasley, _EX2)	friend(ron_weasley, remus_lupin)	1
parent(X, Z)	parent(molly_weasley, fred_weasley)	1
friend(_EX3, X)	friend(george_weasley, luna_lovegood)	1
teacher(X, Y)	teacher(remus_lupin, defense_dark_arts)	1
mutual_friend(_EX2, george_weasley, _EX5)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
parent(arthur_weasley, _EX6)	parent(arthur_weasley, ron_weasley)	1
male(victor_krum)	male(victor_krum)	1
friend(Y, george_weasley)	friend(ron_weasley, george_weasley)	1
house(Z, X)	house(fred_weasley, gryffindor)	1
house(voldemort, X)	house(voldemort, slytherin)	1
friend(_EX3, _EX6)	friend(hermione_granger, george_weasley)	1
male(_EX3)	male(bill_weasley)	1
friend(X, Y)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
female(_EX3)	female(hermione_granger)	1
friend(X, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
taught_by(_EX5, _EX3)	taught_by(ginny_weasley, remus_lupin)	1
taught_by(_EX1, _EX2)	taught_by(hermione_granger, remus_lupin)	1
house(X, Y)	house(fred_weasley, gryffindor)	1
house(peter_pettigrew, gryffindor)	house(peter_pettigrew, gryffindor)	1
height(_EX0, tall)	height(hagrid, tall)	1
house(X, Y)	house(bill_weasley, gryffindor)	1
friend(_EX4, george_weasley)	friend(fred_weasley, george_weasley)	1
house(neville_longbottom, X)	house(neville_longbottom, gryffindor)	1
friend(X, Y)	friend(hermione_granger, dumbledore)	1
male(_EX3)	male(james_potter)	1
friend(_EX2, X)	friend(sirius_black, remus_lupin)	1
teacher(_EX4, X)	teacher(hagrid, magical_creatures)	1
at(X, _EX6)	at(hogwarts, hermione_granger)	1
taught_by(_EX2, _EX3)	taught_by(harry_potter, flitwick)	1
enemy(_EX1, bellatrix_lestrange)	enemy(hermione_granger, bellatrix_lestrange)	1
parent(arthur_weasley, _EX6)	parent(arthur_weasley, fred_weasley)	1
taught_by(_EX5, _EX3)	taught_by(ginny_weasley, dumbledore)	1
friend(fred_weasley, george_weasley)	friend(fred_weasley, george_weasley)	1
friend(X, Y)	friend(ron_weasley, remus_lupin)	1
friend(_EX3, neville_longbottom)	friend(luna_lovegood, neville_longbottom)	1
male(X)	male(crabbe)	1
friend(_EX3, _EX6)	friend(fred_weasley, bill_weasley)	1
mutual_friend(_EX4, _EX4, luna_lovegood)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
taught_by(_EX2, _EX4)	taught_by(harry_potter, dumbledore)	1
friend(X, Z)	friend(hermione_granger, fred_weasley)	1
friend(_EX0, X)	friend(fred_weasley, bill_weasley)	1
enemy(_EX1, voldemort)	enemy(ron_weasley, voldemort)	1
male(_EX5)	male(ron_weasley)	1
male(arthur_weasley)	male(arthur_weasley)	1
friend(_EX4, X)	friend(ron_weasley, george_weasley)	1
friend(X, _EX5)	friend(ron_weasley, fred_weasley)	1
female(_EX3)	female(bellatrix_lestrange)	1
friend(george_weasley, _EX6)	friend(george_weasley, bill_weasley)	1
friend(_EX0, X)	friend(george_weasley, luna_lovegood)	1
enemy(_EX1, X)	enemy(harry_potter, draco_malfoy)	1
house(Z, X)	house(harry_potter, gryffindor)	1
parent(X, _EX4)	parent(lily_potter, harry_potter)	1
friend(fred_weasley, luna_lovegood)	friend(fred_weasley, luna_lovegood)	1
parent(james_potter, harry_potter)	parent(james_potter, harry_potter)	1
friend(ron_weasley, X)	friend(ron_weasley, fred_weasley)	1
friend(Y, fred_weasley)	friend(hermione_granger, fred_weasley)	1
taught_by(_EX2, X)	taught_by(harry_potter, trelawney)	1
teacher(slughorn, X)	teacher(slughorn, potions)	1
wizard(charlie_weasley)	wizard(X) :- house(X, Y), male(X)	1
teacher(Z, X)	teacher(lockhart, defense_dark_arts)	1
house(X, Y)	house(harry_potter, gryffindor)	1
taught_by(_EX6, _EX0)	taught_by(ron_weasley, dumbledore)	1
parent(X, Z)	parent(lily_potter, harry_potter)	1
friend(_EX0, bill_weasley)	friend(fred_weasley, bill_weasley)	1
friend(fred_weasley, _EX5)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(_EX2, luna_lovegood)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
male(X)	male(charlie_weasley)	1
enemy(_EX4, bellatrix_lestrange)	enemy(hermione_granger, bellatrix_lestrange)	1
house(X, Y)	house(severus_snape, slytherin)	1
taught_by(Z, slughorn)	taught_by(ginny_weasley, slughorn)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, mcgonagall)	1
male(_EX2)	male(cedric_diggory)	1
parent(lily_potter, _EX5)	parent(lily_potter, harry_potter)	1
friend(_EX0, luna_lovegood)	friend(fred_weasley, luna_lovegood)	1
taught_by(crabbe, _EX2)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
friend(george_weasley, _EX6)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(Z, george_weasley)	friend(hermione_granger, george_weasley)	1
male(crabbe)	male(crabbe)	1
parent(X, fred_weasley)	parent(molly_weasley, fred_weasley)	1
house(_EX0, X)	house(lucius_malfoy, slytherin)	1
teacher(_EX3, X)	teacher(hagrid, magical_creatures)	1
wizard(draco_malfoy)	wizard(X) :- house(X, Y), male(X)	1
taught_by(X, _EX5)	taught_by(harry_potter, trelawney)	1
parent(arthur_weasley, Z)	parent(arthur_weasley, ron_weasley)	1
parent(arthur_weasley, ron_weasley)	parent(arthur_weasley, ron_weasley)	1
mutual_friend(_EX4, _EX4, remus_lupin)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
enemy(_EX1, voldemort)	enemy(harry_potter, voldemort)	1
house(_EX2, X)	house(peter_pettigrew, gryffindor)	1
female(_EX3)	female(tonks)	1
friend(X, _EX6)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
house(_EX1, X)	house(peter_pettigrew, gryffindor)	1
ally(_EX0, dumbledore)	ally(X, Y) :- enemy(X, Z), enemy(Y, Z)	1
friend(X, _EX4)	friend(hermione_granger, fred_weasley)	1
male(_EX0)	male(victor_krum)	1
friend(_EX3, X)	friend(hermione_granger, remus_lupin)	1
friend(Z, X)	friend(george_weasley, bill_weasley)	1
friend(X, Z)	friend(luna_lovegood, neville_longbottom)	1
taught_by(george_weasley, mcgonagall)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
friend(X, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
male(_EX6)	male(lucius_malfoy)	1
friend(X, _EX6)	friend(hermione_granger, dumbledore)	1
male(_EX6)	male(dumbledore)	1
parent(X, _EX5)	parent(molly_weasley, ginny_weasley)	1
taught_by(_EX5, _EX3)	taught_by(hermione_granger, mcgonagall)	1
parent(arthur_weasley, Z)	parent(arthur_weasley, fred_weasley)	1
female(_EX3)	female(luna_lovegood)	1
friend(_EX0, remus_lupin)	friend(sirius_black, remus_lupin)	1
enemy(_EX1, severus_snape)	enemy(harry_potter, severus_snape)	1
house(_EX1, X)	house(ginny_weasley, gryffindor)	1
son(X, _EX5)	son(X, Y) :- male(X), parent(Y, X)	1
friend(hermione_granger, _EX6)	friend(hermione_granger, george_weasley)	1
male(Y)	male(cedric_diggory)	1
male(_EX0)	male(james_potter)	1
friend(_EX2, X)	friend(hermione_granger, george_weasley)	1
taught_by(_EX2, X)	taught_by(hermione_granger, remus_lupin)	1
taught_by(_EX2, _EX3)	taught_by(ron_weasley, slughorn)	1
friend(_EX4, george_weasley)	friend(hermione_granger, george_weasley)	1
friend(_EX3, Z)	friend(ron_weasley, fred_weasley)	1
house(_EX2, X)	house(fred_weasley, gryffindor)	1
parent(arthur_weasley, Z)	parent(arthur_weasley, ginny_weasley)	1
at(X, _EX6)	at(azkaban, dementors)	1
taught_by(Z, slughorn)	taught_by(hermione_granger, slughorn)	1
house(arthur_weasley, X)	house(arthur_weasley, gryffindor)	1
at(X, _EX6)	at(hogsmeade, butterbeer)	1
house(_EX2, X)	house(bill_weasley, gryffindor)	1
house(_EX1, X)	house(fred_weasley, gryffindor)	1
parent(_EX5, X)	parent(petunia_dursley, dudley_dursley)	1
friend(X, _EX4)	friend(ron_weasley, george_weasley)	1
friend(_EX3, Z)	friend(luna_lovegood, neville_longbottom)	1
taught_by(_EX2, _EX3)	taught_by(ron_weasley, remus_lupin)	1
house(_EX1, X)	house(bill_weasley, gryffindor)	1
parent(X, ginny_weasley)	parent(molly_weasley, ginny_weasley)	1
female(cho_chang)	female(cho_chang)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, severus_snape)	1
friend(X, fred_weasley)	friend(ron_weasley, fred_weasley)	1
house(crabbe, X)	house(crabbe, slytherin)	1
male(Y)	male(sirius_black)	1
friend(_EX2, X)	friend(fred_weasley, bill_weasley)	1
friend(X, Z)	friend(hermione_granger, remus_lupin)	1
friend(Z, X)	friend(ron_weasley, remus_lupin)	1
enemy(_EX6, bellatrix_lestrange)	enemy(hermione_granger, bellatrix_lestrange)	1
casts_spells(fred_weasley)	casts_spells(X) :- wizard(X)	1
male(cedric_diggory)	male(cedric_diggory)	1
wizard(fred_weasley)	wizard(X) :- house(X, Y), male(X)	1
friend(_EX6, _EX4)	friend(draco_malfoy, goyle)	1
parent(_EX5, X)	parent(arthur_weasley, fred_weasley)	1
male(_EX2)	male(bill_weasley)	1
parent(_EX4, X)	parent(arthur_weasley, ginny_weasley)	1
parent(X, _EX5)	parent(xenophilius_lovegood, luna_lovegood)	1
teacher(_EX5, X)	teacher(umbridge, defense_dark_arts)	1
male(_EX6)	male(fred_weasley)	1
friend(X, dumbledore)	friend(hermione_granger, dumbledore)	1
brave(peter_pettigrew)	brave(X) :- house(X, gryffindor)	1
sibling(ron_weasley, fred_weasley)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
taught_by(_EX2, _EX3)	taught_by(ginny_weasley, slughorn)	1
house(_EX2, X)	house(harry_potter, gryffindor)	1
friend(_EX6, _EX4)	friend(ron_weasley, fred_weasley)	1
taught_by(_EX2, _EX4)	taught_by(ginny_weasley, severus_snape)	1
teacher(remus_lupin, X)	teacher(remus_lupin, defense_dark_arts)	1
parent(X, _EX2)	parent(arthur_weasley, ron_weasley)	1
house(_EX1, X)	house(harry_potter, gryffindor)	1
friend(fred_weasley, Z)	friend(fred_weasley, george_weasley)	1
parent(vernon_dursley, _EX6)	parent(vernon_dursley, dudley_dursley)	1
parent(_EX5, X)	parent(arthur_weasley, ginny_weasley)	1
friend(_EX3, Z)	friend(hermione_granger, remus_lupin)	1
taught_by(_EX2, X)	taught_by(harry_potter, mcgonagall)	1
friend(draco_malfoy, goyle)	friend(draco_malfoy, goyle)	1
taught_by(_EX2, _EX4)	taught_by(harry_potter, severus_snape)	1
house(_EX1, X)	house(severus_snape, slytherin)	1
male(_EX5)	male(remus_lupin)	1
parent(X, _EX2)	parent(vernon_dursley, dudley_dursley)	1
taught_by(_EX1, _EX2)	taught_by(harry_potter, remus_lupin)	1
parent(molly_weasley, ron_weasley)	parent(molly_weasley, ron_weasley)	1
friend(_EX3, _EX4)	friend(hermione_granger, george_weasley)	1
friend(_EX4, fred_weasley)	friend(ron_weasley, fred_weasley)	1
house(_EX0, X)	house(peter_pettigrew, gryffindor)	1
friend(Z, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
male(X)	male(hagrid)	1
taught_by(_EX6, _EX0)	taught_by(harry_potter, slughorn)	1
taught_by(_EX6, _EX0)	taught_by(ginny_weasley, severus_snape)	1
teacher(_EX6, X)	teacher(lockhart, defense_dark_arts)	1
enemy(Y, X)	enemy(hermione_granger, voldemort)	1
male(Y)	male(charlie_weasley)	1
male(_EX6)	male(arthur_weasley)	1
at(X, _EX6)	at(hogwarts, neville_longbottom)	1
parent(X, _EX5)	parent(lily_potter, harry_potter)	1
friend(_EX3, neville_longbottom)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(_EX6, X)	friend(ron_weasley, george_weasley)	1
taught_by(X, _EX5)	taught_by(harry_potter, mcgonagall)	1
friend(X, _EX4)	friend(hermione_granger, remus_lupin)	1
friend(X, bill_weasley)	friend(fred_weasley, bill_weasley)	1
friend(_EX4, X)	friend(ron_weasley, fred_weasley)	1
friend(Y, X)	friend(ron_weasley, dumbledore)	1
friend(Z, luna_lovegood)	friend(fred_weasley, luna_lovegood)	1
teacher(_EX5, X)	teacher(trelawney, divination)	1
friend(Z, fred_weasley)	friend(ron_weasley, fred_weasley)	1
mutual_friend(_EX6, george_weasley, _EX5)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
house(_EX6, X)	house(charlie_weasley, gryffindor)	1
taught_by(_EX5, _EX3)	taught_by(ron_weasley, severus_snape)	1
taught_by(_EX2, _EX4)	taught_by(ginny_weasley, slughorn)	1
friend(_EX6, _EX4)	friend(draco_malfoy, crabbe)	1
female(_EX5)	female(cho_chang)	1
male(Y)	male(james_potter)	1
parent(_EX5, X)	parent(molly_weasley, ron_weasley)	1
at(X, victor_krum)	at(durmstrang, victor_krum)	1
taught_by(Y, lockhart)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
taught_by(_EX2, _EX3)	taught_by(hermione_granger, slughorn)	1
parent(james_potter, X)	parent(james_potter, harry_potter)	1
male(Y)	male(remus_lupin)	1
male(sirius_black)	male(sirius_black)	1
female(_EX5)	female(molly_weasley)	1
male(_EX6)	male(cedric_diggory)	1
mutual_friend(Z, Z, fred_weasley)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
parent(arthur_weasley, _EX6)	parent(arthur_weasley, ginny_weasley)	1
enemy(_EX1, X)	enemy(hermione_granger, voldemort)	1
friend(_EX4, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
house(_EX0, X)	house(bellatrix_lestrange, slytherin)	1
parent(arthur_weasley, X)	parent(arthur_weasley, ron_weasley)	1
ally(ron_weasley, _EX6)	ally(ron_weasley, dumbledore)	1
parent(vernon_dursley, X)	parent(vernon_dursley, dudley_dursley)	1
taught_by(_EX5, _EX3)	taught_by(harry_potter, trelawney)	1
friend(_EX6, fred_weasley)	friend(hermione_granger, fred_weasley)	1
mutual_friend(george_weasley, _EX4, Z)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
friend(george_weasley, _EX4)	friend(george_weasley, luna_lovegood)	1
house(_EX2, X)	house(charlie_weasley, gryffindor)	1
friend(_EX2, dumbledore)	friend(ron_weasley, dumbledore)	1
ally(_EX1, Y)	ally(bellatrix_lestrange, voldemort)	1
friend(_EX4, X)	friend(draco_malfoy, crabbe)	1
friend(X, Y)	friend(sirius_black, remus_lupin)	1
friend(hermione_granger, Y)	friend(hermione_granger, remus_lupin)	1
house(_EX1, X)	house(charlie_weasley, gryffindor)	1
taught_by(_EX2, X)	taught_by(hermione_granger, severus_snape)	1
enemy(_EX1, X)	enemy(harry_potter, severus_snape)	1
parent(xenophilius_lovegood, _EX6)	parent(xenophilius_lovegood, luna_lovegood)	1
wizard(_EX2)	wizard(X) :- house(X, Y), male(X)	1
teacher(_EX3, X)	teacher(dumbledore, headmaster)	1
brothers(_EX5, _EX5)	brothers(X, Y) :- sibling(X, Y), male(X), male(Y)	1
friend(X, _EX6)	friend(ron_weasley, dumbledore)	1
parent(X, Z)	parent(molly_weasley, ron_weasley)	1
female(_EX3)	female(umbridge)	1
friend(_EX3, _EX4)	friend(draco_malfoy, crabbe)	1
parent(molly_weasley, _EX6)	parent(molly_weasley, ron_weasley)	1
house(_EX0, X)	house(arthur_weasley, gryffindor)	1
friend(fred_weasley, X)	friend(fred_weasley, george_weasley)	1
male(X)	male(draco_malfoy)	1
friend(X, Z)	friend(hermione_granger, neville_longbottom)	1
taught_by(_EX2, _EX3)	taught_by(ron_weasley, dumbledore)	1
enemy(_EX4, peter_pettigrew)	enemy(harry_potter, peter_pettigrew)	1
enemy(_EX0, voldemort)	enemy(harry_potter, voldemort)	1
teacher(_EX2, X)	teacher(mcgonagall, transfiguration)	1
parent(X, _EX3)	parent(molly_weasley, george_weasley)	1
enemy(_EX1, X)	enemy(ron_weasley, snape)	1
taught_by(ron_weasley, Z)	taught_by(ron_weasley, slughorn)	1
sibling(X, X)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
parent(X, fred_weasley)	parent(arthur_weasley, fred_weasley)	1
friend(X, Z)	friend(hermione_granger, dumbledore)	1
brothers(_EX0, _EX0)	brothers(X, Y) :- sibling(X, Y), male(X), male(Y)	1
taught_by(X, _EX5)	taught_by(hermione_granger, severus_snape)	1
house(hermione_granger, X)	house(hermione_granger, gryffindor)	1
enemy(_EX6, draco_malfoy)	enemy(ron_weasley, draco_malfoy)	1
mutual_friend(_EX4, _EX4, neville_longbottom)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
parent(arthur_weasley, george_weasley)	parent(arthur_weasley, george_weasley)	1
taught_by(ron_weasley, Z)	taught_by(ron_weasley, remus_lupin)	1
wizard(george_weasley)	wizard(X) :- house(X, Y), male(X)	1
friend(_EX4, X)	friend(fred_weasley, luna_lovegood)	1
male(X)	male(dudley_dursley)	1
taught_by(_EX2, X)	taught_by(ginny_weasley, dumbledore)	1
male(dumbledore)	male(dumbledore)	1
enemy(_EX1, X)	enemy(hermione_granger, umbridge)	1
male(X)	male(george_weasley)	1
house(Z, X)	house(cedric_diggory, hufflepuff)	1
friend(ron_weasley, X)	friend(ron_weasley, dumbledore)	1
taught_by(_EX5, _EX3)	taught_by(hermione_granger, remus_lupin)	1
male(_EX0)	male(fred_weasley)	1
taught_by(_EX2, _EX3)	taught_by(ginny_weasley, severus_snape)	1
ally(_EX1, Y)	ally(hermione_granger, dumbledore)	1
parent(X, george_weasley)	parent(molly_weasley, george_weasley)	1
house(X, Y)	house(ginny_weasley, gryffindor)	1
male(_EX6)	male(victor_krum)	1
height(Y, tall)	height(hagrid, tall)	1
taught_by(X, _EX5)	taught_by(harry_potter, remus_lupin)	1
love(_EX0, _EX1)	love(X, Y) :- height(X, tall), height(Y, tall)	1
sibling(_EX4, _EX4)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
sibling(ron_weasley, ron_weasley)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
male(_EX0)	male(dudley_dursley)	1
friend(X, dumbledore)	friend(ron_weasley, dumbledore)	1
friend(_EX1, bill_weasley)	friend(george_weasley, bill_weasley)	1
house(X, Y)	house(lucius_malfoy, slytherin)	1
friend(X, _EX4)	friend(hermione_granger, neville_longbottom)	1
female(_EX5)	female(ginny_weasley)	1
father(_EX1, fred_weasley)	father(X, Y) :- male(X), parent(X, Y)	1
friend(X, _EX6)	friend(sirius_black, remus_lupin)	1
house(Z, gryffindor)	house(neville_longbottom, gryffindor)	1
friend(Y, X)	friend(ron_weasley, george_weasley)	1
taught_by(_EX2, _EX4)	taught_by(ron_weasley, slughorn)	1
sibling(X, _EX2)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
male(_EX0)	male(arthur_weasley)	1
